clusterId,conceptName,requiredIngredient,identity,family,state,selectedProductId,quantity,unit,reason
"dcluster_8c521f996b1e8844f530ff12","Жульен с курицей и грибами в духовке","Твёрдый сыр","Твёрдый сыр","hard_cheese_45pct","EXACT_PRODUCT_ALREADY_RESOLVED","hard_cheese_45pct","100","G","accepted resolver supplied concrete product with nutrition authority"
"dcluster_8c521f996b1e8844f530ff12","Жульен с курицей и грибами в духовке","Оливковое масло","Оливковое масло","olive_oil","EXACT_PRODUCT_ALREADY_RESOLVED","olive_oil","2","","accepted resolver supplied concrete product with nutrition authority"
"dcluster_8c521f996b1e8844f530ff12","Жульен с курицей и грибами в духовке","Куриное филе","Куриное филе","chicken_breast_raw","EXACT_PRODUCT_ALREADY_RESOLVED","chicken_breast_raw","400","G","accepted resolver supplied concrete product with nutrition authority"
"dcluster_8c521f996b1e8844f530ff12","Жульен с курицей и грибами в духовке","Рис","Рис","step092_rice","EXACT_PRODUCT_ALREADY_RESOLVED","step092_rice","170","G","accepted resolver supplied concrete product with nutrition authority"
"dcluster_8c521f996b1e8844f530ff12","Жульен с курицей и грибами в духовке","Шампиньоны","Шампиньоны","mushroom_champignon_raw","EXACT_PRODUCT_ALREADY_RESOLVED","mushroom_champignon_raw","150","G","accepted resolver supplied concrete product with nutrition authority"
"dcluster_8c521f996b1e8844f530ff12","Жульен с курицей и грибами в духовке","Сыр твёрдый","сыр твердый","сыр твердый","SINGLE_COMPATIBLE_PRODUCT_SELECTED","hard_cheese_45pct","150","G","exactly one semantically compatible catalog product"
"dcluster_8c521f996b1e8844f530ff12","Жульен с курицей и грибами в духовке","Лук репчатый","Лук репчатый","onion","EXACT_PRODUCT_ALREADY_RESOLVED","onion","130","","accepted resolver supplied concrete product with nutrition authority"
"dcluster_8c521f996b1e8844f530ff12","Жульен с курицей и грибами в духовке","Майонез","Майонез","mayonnaise","EXACT_PRODUCT_ALREADY_RESOLVED","mayonnaise","100","G","accepted resolver supplied concrete product with nutrition authority"
"dcluster_f56bdfce184d826f0612295b","Омлет на кефире на сковороде","Яйца","яйца","яйца","SINGLE_COMPATIBLE_PRODUCT_SELECTED","step092_eggs","2","SHT","exactly one semantically compatible catalog product"
"dcluster_f56bdfce184d826f0612295b","Омлет на кефире на сковороде","Твёрдый сыр","Твёрдый сыр","hard_cheese_45pct","EXACT_PRODUCT_ALREADY_RESOLVED","hard_cheese_45pct","30","G","accepted resolver supplied concrete product with nutrition authority"
"dcluster_f56bdfce184d826f0612295b","Омлет на кефире на сковороде","Петрушка","Петрушка","parsley_raw","EXACT_PRODUCT_ALREADY_RESOLVED","parsley_raw","10","G","accepted resolver supplied concrete product with nutrition authority"
"dcluster_f56bdfce184d826f0612295b","Омлет на кефире на сковороде","Кефир","кефир","кефир","CANONICAL_FAMILY_DEFAULT_SELECTED","kefir_2_5pct","3","","owner synthesis default recipe-synthesis-product-policy/v2 selected exact accepted Product"
"dcluster_f56bdfce184d826f0612295b","Омлет на кефире на сковороде","Растительное масло","растительное масло","растительное масло","CANONICAL_FAMILY_DEFAULT_SELECTED","sunflower_oil","1","","owner synthesis default recipe-synthesis-product-policy/v2 selected exact accepted Product"
"dcluster_f56bdfce184d826f0612295b","Омлет на кефире на сковороде","Пшеничная мука","Пшеничная мука","wheat_flour","EXACT_PRODUCT_ALREADY_RESOLVED","wheat_flour","1","","accepted resolver supplied concrete product with nutrition authority"
"dcluster_f56bdfce184d826f0612295b","Омлет на кефире на сковороде","Яйца","яйца","яйца","SINGLE_COMPATIBLE_PRODUCT_SELECTED","step092_eggs","2","SHT","exactly one semantically compatible catalog product"
"dcluster_f56bdfce184d826f0612295b","Омлет на кефире на сковороде","Масло","масло","масло","PRODUCT_SELECTION_PENDING","","","","multiple semantically valid products remain; no arbitrary variant is selected"
"dcluster_6e5245d7ad0ff5db0075c6bb","Творожная запеканка с манкой и сметаной","Творог","Творог","cottage_cheese_5pct","EXACT_PRODUCT_ALREADY_RESOLVED","cottage_cheese_5pct","600","G","accepted resolver supplied concrete product with nutrition authority"
"dcluster_6e5245d7ad0ff5db0075c6bb","Творожная запеканка с манкой и сметаной","Сметана","сметана","сметана","PRODUCT_SELECTION_PENDING","","150","G","multiple semantically valid products remain; no arbitrary variant is selected"
"dcluster_6e5245d7ad0ff5db0075c6bb","Творожная запеканка с манкой и сметаной","Яйца","яйца","яйца","SINGLE_COMPATIBLE_PRODUCT_SELECTED","step092_eggs","3","SHT","exactly one semantically compatible catalog product"
"dcluster_6e5245d7ad0ff5db0075c6bb","Творожная запеканка с манкой и сметаной","Сахар","Сахар","sugar_white","EXACT_PRODUCT_ALREADY_RESOLVED","sugar_white","4","","accepted resolver supplied concrete product with nutrition authority"
"dcluster_6e5245d7ad0ff5db0075c6bb","Творожная запеканка с манкой и сметаной","Манка","Манка","semolina_dry","EXACT_PRODUCT_ALREADY_RESOLVED","semolina_dry","4","","accepted resolver supplied concrete product with nutrition authority"
"dcluster_6e5245d7ad0ff5db0075c6bb","Творожная запеканка с манкой и сметаной","Сода","сода","сода","SINGLE_COMPATIBLE_PRODUCT_SELECTED","baking_soda","1","","exactly one semantically compatible catalog product"
"dcluster_6e5245d7ad0ff5db0075c6bb","Творожная запеканка с манкой и сметаной","Ванилин","ванилин","ванилин","PRODUCT_CATALOG_GAP","","0.25","","no accepted compatible product remains after explicit evidence"
"dcluster_6e5245d7ad0ff5db0075c6bb","Творожная запеканка с манкой и сметаной","Сливочное масло","Сливочное масло","butter","EXACT_PRODUCT_ALREADY_RESOLVED","butter","1","","accepted resolver supplied concrete product with nutrition authority"
"dcluster_6e5245d7ad0ff5db0075c6bb","Творожная запеканка с манкой и сметаной","Манка","Манка","semolina_dry","EXACT_PRODUCT_ALREADY_RESOLVED","semolina_dry","1","","accepted resolver supplied concrete product with nutrition authority"
"dcluster_6e5245d7ad0ff5db0075c6bb","Творожная запеканка с манкой и сметаной","Творог","Творог","cottage_cheese_5pct","EXACT_PRODUCT_ALREADY_RESOLVED","cottage_cheese_5pct","500","G","accepted resolver supplied concrete product with nutrition authority"
"dcluster_6e5245d7ad0ff5db0075c6bb","Творожная запеканка с манкой и сметаной","Манка","Манка","semolina_dry","EXACT_PRODUCT_ALREADY_RESOLVED","semolina_dry","100","G","accepted resolver supplied concrete product with nutrition authority"
"dcluster_6e5245d7ad0ff5db0075c6bb","Творожная запеканка с манкой и сметаной","Сахар","Сахар","sugar_white","EXACT_PRODUCT_ALREADY_RESOLVED","sugar_white","100","G","accepted resolver supplied concrete product with nutrition authority"
